id,overview,plot,version,CPU,memory,RAM,video_card,id_catalogs
33,Hearts of Iron IV,06 июня 2016 г.,1.850 KZT,img/games/Стратегия/Hearts of Iron IV.jpeg,_,_,_,6
34,Infection Free Zone,27 сен. 2023 г.,9.000 KZT,img/games/Стратегия/Infection Free Zone.jpeg,_,_,_,6
35,Red Dead Redemption 2,26 окт. 2018 г.,4.100 KZT,img/games/Приключения/Red Dead Redemption 2.jpeg,_,_,_,11
36,Sid Meier’s Civilization® VI,21 окт. 2016 г.,5.620 KZT,img/games/Стратегия/Sid Meier’s Civilization® VI.jpeg,_,_,_,6
37,Warframe,25 мар. 2013 г.,7.990 KZT,img/games/Экшен/Warframe.jpeg,_,_,_,4
38,Youtubers Life 2,19 окт. 2021 г.,7.400 KZT,img/games/Симулятор/Youtubers Life 2.jpeg,_,_,_,3
39,Drop Hunt,23 фев. 2017 г.,1.790 KZT,img/games/Головоломка/Drop Hunt.jpeg,_,_,_,10
40,DEVOUR,28 янв. 2021 г.,4.500 KZT,img/games/Приключения/DEVOUR.jpeg,_,_,_,11
41,Phasmophobia,04 сен. 2020 г.,Windows 10 64Bit;,Intel Core i5-4590 / AMD Ryzen 5 2600;,21 GB;,8 GB ОЗУ;,NVIDIA GTX 970 / AMD Radeon R9 390;,1
42,Senua's Saga Hellblade 2,21 мая 2024 г.,15.250 KZT,img/games/Приключения/Senua's Saga Hellblade 2.jpeg,_,_,_,11
43,Ender Magnolia Bloom in the Mist,25 мар. 2024 г.,9.500 KZT,img/games/Приключения/Ender Magnolia Bloom in the Mist.png,_,_,_,11
